Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
83,1282,species,Willow Ptarmigan,Lagopus lagopus,1,Eagle Summit,US-AK,24 Jun 2019,L4001904,S57671455,,1
84,1336,species,Spruce Grouse,Canachites canadensis,3,White Mountains NRA--Table Top Mountain Trail,US-AK,06 Jul 2018,L7677027,S47036149,,1
85,1404,species,Ring-necked Pheasant,Phasianus colchicus,6,Yolo Bypass Wildlife Area,US-CA,13 Sep 2015,L443535,S25018896,N,1
86,1544,species,Red Junglefowl,Gallus gallus,16,ʻAiea Ridge Trail,US-HI,20 Jul 2017,L1042043,S38243625,N,1
87,1680,species,Chukar,Alectoris chukar,35,Salmon River Day 1,US-ID,23 Jul 2021,L15969035,S92609002,N,1
88,1771,species,Greater Flamingo,Phoenicopterus roseus,50,Etang de Biguglia--sentier de découverte (chjassu di scuperta),FR-COR,02 May 2023,L3815055,S136051622,,1
90,1786,species,Little Grebe,Tachybaptus ruficollis,2,Hafen Moos,DE-BW,11 May 2023,L13390358,S137032971,,1
91,1807,species,Least Grebe,Tachybaptus dominicus,2,Estero Llano Grande SP WBC (LTC 054),US-TX,15 Nov 2016,L259855,S32566372,,1
92,1813,species,Pied-billed Grebe,Podilymbus podiceps,2,Natural Bridges SB,US-CA,29 Sep 2013,L200588,S15282791,,1
93,1824,species,Horned Grebe,Podiceps auritus,4,Lake Chabot Regional Park,US-CA,20 Oct 2013,L874154,S15457478,,1
94,1827,species,Red-necked Grebe,Podiceps grisegena,1,West UAF Trails & Smith Lake,US-AK,28 Jun 2016,L524998,S30433892,,1
95,1830,species,Great Crested Grebe,Podiceps cristatus,1,Parco Le Folaghe Oasi di Casei Gerola,IT-25,30 Apr 2023,L3497430,S135521663,,1
96,1834,species,Eared Grebe,Podiceps nigricollis,,Indian Creek Reservoir,US-CA,12 Sep 2015,L272916,S25018632,,1
98,1846,species,Western Grebe,Aechmophorus occidentalis,1,Hayward Regional Shoreline--Interpretive Center,US-CA,17 May 2016,L587721,S29735768,,1
99,1849,species,Clark's Grebe,Aechmophorus clarkii,,Hayward Regional Shoreline,US-CA,15 Apr 2016,L225431,S29038316,,1
101,1856,species,Rock Pigeon,Columba livia,4,Saint Florent Beach Loop,FR-COR,03 May 2023,L24044640,S136123125,,1
102,1888,species,Common Wood-Pigeon,Columba palumbus,10,Santo Stefano Ticino,IT-25,30 Apr 2023,L23928029,S135512742,,1
103,1968,species,Band-tailed Pigeon,Patagioenas fasciata,1,Lake Chabot Regional Park,US-CA,20 Oct 2013,L874154,S15457478,,1
104,2017,species,European Turtle-Dove,Streptopelia turtur,2,Parco Le Folaghe Oasi di Casei Gerola,IT-25,30 Apr 2023,L3497430,S135521663,,1
105,2024,species,Oriental Turtle-Dove,Streptopelia orientalis,1,"stakeout Oriental Turtle-Dove, Palo Alto (2022)",US-CA,09 Feb 2022,L17633411,S102326748,,1
106,2033,species,Eurasian Collared-Dove,Streptopelia decaocto,5,Santo Stefano Ticino,IT-25,30 Apr 2023,L23928029,S135512742,,1
107,2065,species,Spotted Dove,Spilopelia chinensis,2,Hanalei NWR--'Ohiki Rd,US-HI,11 Jul 2017,L1124298,S38095443,N,1
108,2229,species,Zebra Dove,Geopelia striata,1,Kuli'ou'ou Valley Trail,US-HI,17 Jul 2017,L285799,S38198039,N,1
109,2239,species,Inca Dove,Columbina inca,4,Patagonia-Sonoita Creek Preserve,US-AZ,07 May 2017,L129052,S36658742,,1
110,2240,species,Common Ground Dove,Columbina passerina,1,Niland--International Rd.,US-CA,10 Jul 2019,L364551,S58087863,,1
111,2318,species,White-tipped Dove,Leptotila verreauxi,1,Estero Llano Grande SP WBC (LTC 054),US-TX,15 Nov 2016,L259855,S32566372,,1
112,2382,species,White-winged Dove,Zenaida asiatica,1,Laguna Atascosa NWR (LTC 024),US-TX,13 Nov 2016,L129005,S32652929,,1
113,2405,species,Mourning Dove,Zenaida macroura,1,Coyote Hills Regional Park,US-CA,31 Aug 2014,L216132,S19639003,,1
114,3002,species,Groove-billed Ani,Crotophaga sulcirostris,3,Laguna Atascosa NWR (LTC 024),US-TX,13 Nov 2016,L129005,S32652929,,1
115,3013,species,Greater Roadrunner,Geococcyx californianus,2,Laguna Atascosa NWR (LTC 024),US-TX,13 Nov 2016,L129005,S32652929,,1
116,3206,species,Yellow-billed Cuckoo,Coccyzus americanus,6,Palo Verde Ecological Reserve,US-CA,12 Jul 2019,L1497396,S58122818,,1
117,3211,species,Black-billed Cuckoo,Coccyzus erythropthalmus,1,Wayne MacCallum Wildlife Management Area,US-MA,17 May 2023,L9439634,S138239519,,1
118,3396,species,Common Cuckoo,Cuculus canorus,1,Malcesine,IT-34,07 May 2023,L8129870,S136429017,,1
119,3474,species,Lesser Nighthawk,Chordeiles acutipennis,20,Madera Canyon--Proctor Rd.,US-AZ,05 May 2017,L211809,S36644665,,1
120,3482,species,Common Nighthawk,Chordeiles minor,3,Lower Rush Creek riparian area,US-CA,14 Jun 2019,L879376,S57455684,,1
121,3527,species,Common Pauraque,Nyctidromus albicollis,2,Estero Llano Grande SP WBC (LTC 054),US-TX,15 Nov 2016,L259855,S32566372,,1
122,3578,species,Common Poorwill,Phalaenoptilus nuttallii,1,Joshua Tree NP--Cottonwood Campground,US-CA,02 Apr 2017,L2071413,S35678694,,1
123,3606,species,Mexican Whip-poor-will,Antrostomus arizonae,1,Green Canyon,US-CA,06 Jul 2020,L583382,S71216589,,1
124,3776,species,Black Swift,Cypseloides niger,8,McArthur-Burney Falls Memorial SP,US-CA,24 Jun 2017,L367727,S37781864,,1
125,3845,species,Chimney Swift,Chaetura pelagica,1,Hanscom Field--Massport Trail,US-MA,16 May 2023,L1605086,S138008760,,1
126,3846,species,Vaux's Swift,Chaetura vauxi,2,Ukiah WWTP,US-CA,23 Sep 2016,L333876,S31723199,,1
127,4024,species,Alpine Swift,Apus melba,3,Huberhof,IT-32,08 May 2023,L24113186,S136591587,,1
128,4041,species,Common Swift,Apus apus,6,Santo Stefano Ticino,IT-25,30 Apr 2023,L23928029,S135512742,,1
129,4102,species,White-throated Swift,Aeronautes saxatalis,,Kings Canyon NP--Zumwalt Meadow,US-CA,06 Sep 2014,L1036411,S19772307,,1
131,4663,species,Rivoli's Hummingbird,Eugenes fulgens,1,Madera Canyon--Carrie Nation Trail,US-AZ,04 May 2017,L2413068,S36644096,,1
132,4738,species,Lucifer Hummingbird,Calothorax lucifer,1,Box Canyon,US-AZ,31 Jul 2019,L340405,S58598997,,1
133,4741,species,Ruby-throated Hummingbird,Archilochus colubris,4,Wayne MacCallum Wildlife Management Area,US-MA,17 May 2023,L9439634,S138239519,,1
134,4742,species,Black-chinned Hummingbird,Archilochus alexandri,1,Walnut Canyon NM,US-AZ,01 May 2017,L346650,S36462454,,1
135,4752,species,Anna's Hummingbird,Calypte anna,2,Lake Chabot Regional Park,US-CA,20 Oct 2013,L874154,S15457478,,1
136,4755,species,Costa's Hummingbird,Calypte costae,4,Joshua Tree NP--Cottonwood Campground,US-CA,31 Mar 2017,L2071413,S35707004,,1
138,4760,species,Calliope Hummingbird,Selasphorus calliope,5,Mt. Diablo SP--Mitchell Canyon,US-CA,23 Apr 2017,L275399,S36203922,,1
139,4763,species,Rufous Hummingbird,Selasphorus rufus,1,Kings Canyon NP--Zumwalt Meadow,US-CA,06 Sep 2014,L1036411,S19772307,,1
140,4767,species,Allen's Hummingbird,Selasphorus sasin,1,Sibley Volcanic Regional Preserve,US-CA,16 Mar 2014,L311906,S17468997,,1
142,4773,species,Broad-tailed Hummingbird,Selasphorus platycercus,1,Elden Spring,US-AZ,01 May 2017,L587297,S36458917,,1
144,4797,species,Broad-billed Hummingbird,Cynanthus latirostris,5,Florida Canyon--lower,US-AZ,05 May 2017,L720787,S36644987,,1
145,4969,species,Violet-crowned Hummingbird,Leucolia violiceps,2,Patagonia-Sonoita Creek Preserve,US-AZ,07 May 2017,L129052,S36658742,,1
146,5029,species,Buff-bellied Hummingbird,Amazilia yucatanensis,2,Estero Llano Grande SP WBC (LTC 054),US-TX,15 Nov 2016,L259855,S32566372,,1
148,5171,species,Ridgway's Rail,Rallus obsoletus,4,MLK Jr. Regional Shoreline,US-CA,15 Jan 2018,L2402250,S41937956,,1
149,5191,species,Clapper Rail,Rallus crepitans,1,Grand Isle--Grand Isle SP (East),US-LA,21 Nov 2017,L370434,S40674700,,1
150,5212,species,Virginia Rail,Rallus limicola,1,Golden Gate Park--Elk Glen Lake,US-CA,03 Feb 2016,L870863,S27307122,,1
151,5372,species,Sora,Porzana carolina,2,Coyote Hills Regional Park,US-CA,14 Sep 2017,L216132,S39183299,,1
152,5386,species,Common Gallinule,Gallinula galeata,1,Santa Ana NWR (LTC 059),US-TX,15 Nov 2016,L129085,S32570258,,1
153,5405,species,Eurasian Coot,Fulica atra,6,Parco Le Folaghe Oasi di Casei Gerola,IT-25,30 Apr 2023,L3497430,S135521663,,1
154,5415,species,Hawaiian Coot,Fulica alai,5,Hanalei NWR--'Ohiki Rd,US-HI,11 Jul 2017,L1124298,S38095443,,1
155,5418,species,American Coot,Fulica americana,4,Natural Bridges SB,US-CA,29 Sep 2013,L200588,S15282791,,1
156,5576,species,Black Rail,Laterallus jamaicensis,1,China Camp SP,US-CA,20 May 2017,L480316,S37013124,,1
157,5626,species,Sandhill Crane,Antigone canadensis,20,West UAF Trails & Smith Lake,US-AK,28 Jun 2016,L524998,S30433892,,1
158,5641,species,Common Crane,Grus grus,1,"stakeout Common Crane, Mormon Lake (2017)",US-AZ,08 May 2017,L5788811,S36656694,,1
159,5689,species,Black-winged Stilt,Himantopus himantopus,15,Parco Le Folaghe Oasi di Casei Gerola,IT-25,30 Apr 2023,L3497430,S135521663,,1
160,5696,species,Black-necked Stilt,Himantopus mexicanus,2,Coyote Hills Regional Park,US-CA,31 Aug 2014,L216132,S19639003,,1
161,5706,species,American Avocet,Recurvirostra americana,,Coyote Hills Regional Park,US-CA,31 Aug 2014,L216132,S19639003,,1
162,5725,species,American Oystercatcher,Haematopus palliatus,1,Royal Palms Beach,US-CA,28 Nov 2019,L3231275,S61824538,,1
163,5732,species,Black Oystercatcher,Haematopus bachmani,2,Cesar Chavez Park,US-CA,14 Aug 2016,L285281,S31094693,,1
165,5737,species,Black-bellied Plover,Pluvialis squatarola,10,Middle Harbor Shoreline Park,US-CA,25 Sep 2015,L774817,S25169097,,1
166,5741,species,American Golden-Plover,Pluvialis dominica,6,Eagle Summit,US-AK,24 Jun 2019,L4001904,S57671455,,1
167,5742,species,Pacific Golden-Plover,Pluvialis fulva,1,Hayward Regional Shoreline--Frank's Dump,US-CA,01 Sep 2018,L526261,S48228846,,1
168,5800,species,Lesser Sand-Plover,Charadrius mongolus,1,Laguna Creek beach and marsh,US-CA,18 Sep 2021,L818961,S94854936,,1
169,5830,species,Snowy Plover,Charadrius nivosus,1,Middle Harbor Shoreline Park,US-CA,25 Sep 2015,L774817,S25169097,,1
170,5835,species,Wilson's Plover,Charadrius wilsonia,1,Elmer's Island,US-LA,21 Nov 2017,L777236,S40641167,,1
171,5840,species,Common Ringed Plover,Charadrius hiaticula,1,Parco Le Folaghe Oasi di Casei Gerola,IT-25,30 Apr 2023,L3497430,S135521663,,1
172,5843,species,Semipalmated Plover,Charadrius semipalmatus,12,Middle Harbor Shoreline Park,US-CA,25 Sep 2015,L774817,S25169097,,1
173,5846,species,Piping Plover,Charadrius melodus,8,Elmer's Island,US-LA,21 Nov 2017,L777236,S40641167,,1
174,5848,species,Little Ringed Plover,Charadrius dubius,1,Parco Le Folaghe Oasi di Casei Gerola,IT-25,30 Apr 2023,L3497430,S135521663,,1
175,5866,species,Killdeer,Charadrius vociferus,1,Coyote Hills Regional Park,US-CA,31 Aug 2014,L216132,S19639003,,1
176,5870,species,Mountain Plover,Charadrius montanus,16,Carrizo Plain NM (use specific hotspots when available),US-CA,26 Nov 2016,L602497,S32740097,,1
177,5931,species,Whimbrel,Numenius phaeopus,1,Natural Bridges SB,US-CA,24 Jan 2016,L200588,S27125237,,1
178,5941,species,Long-billed Curlew,Numenius americanus,6,Middle Harbor Shoreline Park,US-CA,25 Sep 2015,L774817,S25169097,,1
179,5953,species,Bar-tailed Godwit,Limosa lapponica,1,Hayward Regional Shoreline--Winton Ave. access and parking area,US-CA,24 Jul 2019,L470891,S58428939,,1
180,5968,species,Hudsonian Godwit,Limosa haemastica,1,Tunitas Creek beach -- west of Hwy 1 only,US-CA,16 Oct 2019,L951031,S60674380,,1
181,5971,species,Marbled Godwit,Limosa fedoa,6,Middle Harbor Shoreline Park,US-CA,25 Sep 2015,L774817,S25169097,,1
182,5976,species,Ruddy Turnstone,Arenaria interpres,1,Hayward Regional Shoreline,US-CA,30 Jul 2017,L225431,S38402186,,1
183,5979,species,Black Turnstone,Arenaria melanocephala,1,Cesar Chavez Park,US-CA,17 Sep 2015,L285281,S25074135,,1
184,5985,species,Red Knot,Calidris canutus,,Hayward Regional Shoreline,US-CA,15 Apr 2016,L225431,S29038316,,1
185,5993,species,Surfbird,Calidris virgata,9,Ocean Shores--Pt. Brown Jetty,US-WA,23 Dec 2016,L168688,S33166702,,1
186,5996,species,Ruff,Calidris pugnax,1,West Branch Struve Slough--north access,US-CA,10 Sep 2017,L990720,S39129749,,1
187,6000,species,Sharp-tailed Sandpiper,Calidris acuminata,1,Pt. Reyes--Limantour Spit,US-CA,18 Oct 2021,L479537,S96411336,,1
188,6001,species,Stilt Sandpiper,Calidris himantopus,1,Don Edwards NWR (SCL Co.) (please use a more specific hotspot where possible),US-CA,08 Sep 2016,L231517,S31492685,,1
189,6002,species,Curlew Sandpiper,Calidris ferruginea,1,UCSB--East beach (formerly Goleta Bay West beach),US-CA,26 Sep 2020,L1072376,S74096643,,1
190,6006,species,Red-necked Stint,Calidris ruficollis,1,Elsie Roemer Bird Sanctuary,US-CA,06 Aug 2017,L509134,S38510676,,1
191,6007,species,Sanderling,Calidris alba,12,Middle Harbor Shoreline Park,US-CA,25 Sep 2015,L774817,S25169097,,1
192,6010,species,Dunlin,Calidris alpina,,Hayward Regional Shoreline,US-CA,15 Apr 2016,L225431,S29038316,,1
193,6023,species,Rock Sandpiper,Calidris ptilocnemis,3,Ocean Shores--Pt. Brown Jetty,US-WA,23 Dec 2016,L168688,S33166702,,1
194,6032,species,Baird's Sandpiper,Calidris bairdii,20,MacKerricher SP--Ten Mile Beach,US-CA,26 Aug 2018,L289474,S48101832,,1
195,6033,species,Little Stint,Calidris minuta,1,San Jacinto Wildlife Area,US-CA,05 Apr 2023,L163561,S133298119,,1
196,6035,species,Least Sandpiper,Calidris minutilla,,Yolo Bypass Wildlife Area,US-CA,13 Sep 2015,L443535,S25018896,,1
197,6040,species,Pectoral Sandpiper,Calidris melanotos,1,Elsie Roemer Bird Sanctuary,US-CA,10 Sep 2017,L509134,S39128522,,1
198,6043,species,Semipalmated Sandpiper,Calidris pusilla,3,Yolo Bypass Wildlife Area,US-CA,13 Sep 2015,L443535,S25018896,,1
199,6045,species,Western Sandpiper,Calidris mauri,,Coyote Hills Regional Park,US-CA,31 Aug 2014,L216132,S19639003,,1
202,6050,species,Short-billed Dowitcher,Limnodromus griseus,2,Hayward Regional Shoreline,US-CA,15 Apr 2016,L225431,S29038316,,1
203,6054,species,Long-billed Dowitcher,Limnodromus scolopaceus,,Eden Landing Ecological Reserve,US-CA,28 Jan 2017,L457476,S33991989,,1
205,6086,species,Wilson's Snipe,Gallinago delicata,1,Lake Chabot Regional Park,US-CA,28 Nov 2015,L874154,S26035363,,1
206,6110,species,Wilson's Phalarope,Phalaropus tricolor,7,Hayward Regional Shoreline,US-CA,01 Jul 2017,L225431,S37911227,,1
207,6111,species,Red-necked Phalarope,Phalaropus lobatus,7,Ankeny NWR,US-OR,21 Aug 2017,L159571,S38757817,,1
208,6112,species,Red Phalarope,Phalaropus fulicarius,1,Presidio--Crissy Field Lagoon,US-CA,11 Sep 2018,L1004802,S48451760,,1
211,6115,species,Common Sandpiper,Actitis hypoleucos,2,Parco Le Folaghe Oasi di Casei Gerola,IT-25,30 Apr 2023,L3497430,S135521663,,1
212,6116,species,Spotted Sandpiper,Actitis macularius,1,Middle Harbor Shoreline Park,US-CA,25 Sep 2015,L774817,S25169097,,1
213,6119,species,Solitary Sandpiper,Tringa solitaria,1,West UAF Trails & Smith Lake,US-AK,28 Jun 2016,L524998,S30433892,,1
214,6123,species,Wandering Tattler,Tringa incana,2,Cesar Chavez Park,US-CA,17 Sep 2015,L285281,S25074135,,1
215,6126,species,Greater Yellowlegs,Tringa melanoleuca,2,Hayward Regional Shoreline,US-CA,15 Apr 2016,L225431,S29038316,,1
216,6127,species,Common Greenshank,Tringa nebularia,1,Parco Le Folaghe Oasi di Casei Gerola,IT-25,30 Apr 2023,L3497430,S135521663,,1
217,6130,species,Willet,Tringa semipalmata,,Yolo Bypass Wildlife Area,US-CA,13 Sep 2015,L443535,S25018896,,1
218,6133,species,Lesser Yellowlegs,Tringa flavipes,4,Coyote Hills Regional Park,US-CA,31 Aug 2014,L216132,S19639003,,1
220,6136,species,Wood Sandpiper,Tringa glareola,1,Russ Ranch Wetlands,US-CA,14 Sep 2018,L1272567,S48513214,,1
223,6268,species,South Polar Skua,Stercorarius maccormicki,1,"(36.5499,-122.5020)",US-CA,07 Sep 2019,L9888870,S59608787,,1
224,6274,species,Pomarine Jaeger,Stercorarius pomarinus,2,Monterey Bay pelagic--inshore Monterey to Moss Landing (MTY Co.),US-CA,29 Sep 2018,L792036,S48900235,,1
225,6275,species,Parasitic Jaeger,Stercorarius parasiticus,1,Half Moon Bay SB--Venice Beach and Pilarcitos/Frenchman's Creek Mouth,US-CA,01 Sep 2017,L329541,S38939940,,1
227,6277,species,Long-tailed Jaeger,Stercorarius longicaudus,6,"(36.5499,-122.5020)",US-CA,07 Sep 2019,L9888870,S59608787,,1
230,6288,species,Common Murre,Uria aalge,1,Cesar Chavez Park,US-CA,17 Sep 2015,L285281,S25074135,,1
231,6313,species,Pigeon Guillemot,Cepphus columba,4,Ediz Hook,US-WA,29 Dec 2016,L190512,S33280115,,1
232,6323,species,Marbled Murrelet,Brachyramphus marmoratus,14,Ediz Hook,US-WA,29 Dec 2016,L190512,S33280115,,1
233,6325,species,Scripps's Murrelet,Synthliboramphus scrippsi,4,Santa Barbara Channel--east channel (SBA Co.),US-CA,08 Mar 2020,L367650,S65872003,,1
234,6326,species,Guadalupe Murrelet,Synthliboramphus hypoleucus,2,Bodega Bay Pelagic 8/16 Leg 6,US-CA,16 Oct 2022,L21264758,S120924326,,1
235,6331,species,Ancient Murrelet,Synthliboramphus antiquus,3,Leg 9 - Bodega 12/04/22,US-CA,04 Dec 2022,L21719427,S123515615,,1
236,6336,species,Cassin's Auklet,Ptychoramphus aleuticus,1,"(36.6379,-122.0578)",US-CA,07 Sep 2019,L9887080,S59608608,,1
237,6339,species,Parakeet Auklet,Aethia psittacula,1,Land's End--seawatch,US-CA,23 Jul 2017,L1089435,S38287794,,1
238,6343,species,Rhinoceros Auklet,Cerorhinca monocerata,1,Ediz Hook,US-WA,29 Dec 2016,L190512,S33280115,,1
239,6350,species,Tufted Puffin,Fratercula cirrhata,1,"(37.4379,-122.6876)",US-CA,27 Sep 2019,L9963125,S60192994,,1
