"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)","Media notes","Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,mediaDownloadUrl,report_as
113828191,Photo,"Calidris bairdii","Baird's Sandpiper",,"Aaron Maizlish",9/4/2018,2018,9,4,1310,"United States",US-CA-013,California,"Contra Costa","West County Wastewater District--Sewage Ponds",37.9655,-122.376,,Unknown,,Unspecified,,,,,,,,S48295723,,,,,"I spent most of the hour photographing them.  All together at distance of 20-30’.",,,,"Calidris bairdii",baisan,Species,5889.0,,,4.0,2,committed,,"https://ebird.org/profile/MjMwNjE0",1200,1800,"https://macaulaylibrary.org/asset/113828191","https://ebird.org/view/checklist/S48295723","https://ebird.org/species/baisan",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",baisan
111682011,Photo,"Corvus brachyrhynchos","American Crow",,"Aaron Maizlish",9/3/2010,2010,9,3,1200,"United States",US-CA-001,California,Alameda,"Emeryville Marina",37.8394,-122.3119,,Unknown,,Unspecified,,,,,,,,S9840855,,,,,,,,,"Corvus brachyrhynchos",amecro,Species,20471.0,,,4.0,2,committed,,"https://ebird.org/profile/MjMwNjE0",1199,1800,"https://macaulaylibrary.org/asset/111682011","https://ebird.org/view/checklist/S9840855","https://ebird.org/species/amecro",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",amecro
110712881,Photo,"Tachybaptus ruficollis","Little Grebe",,"Aaron Maizlish",7/29/2018,2018,7,29,1105,Switzerland,CH-GR,Graubünden,,Silsersee,46.4173,9.7313,,Unknown,,Unspecified,,,,,,,,S47513302,,,,,,,,,"Tachybaptus ruficollis",litgre1,Species,1715.0,,,4.0,2,committed,,"https://ebird.org/profile/MjMwNjE0",1200,1801,"https://macaulaylibrary.org/asset/110712881","https://ebird.org/view/checklist/S47513302","https://ebird.org/species/litgre1",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",litgre1
110711611,Photo,"Phylloscopus sibilatrix","Wood Warbler",,"Aaron Maizlish",8/9/2018,2018,8,9,1020,Switzerland,CH-GR,Graubünden,,"Val Fex",46.4142,9.7653,,Unknown,,Unspecified,,,,,,,,S47739913,,,,,"Regular summer residents around my house",,,,"Phylloscopus sibilatrix",woowar,Species,23636.0,,,4.0,2,committed,,"https://ebird.org/profile/MjMwNjE0",1066,1602,"https://macaulaylibrary.org/asset/110711611","https://ebird.org/view/checklist/S47739913","https://ebird.org/species/woowar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",woowar
110711481,Photo,"Phylloscopus sibilatrix","Wood Warbler",,"Aaron Maizlish",8/9/2018,2018,8,9,1020,Switzerland,CH-GR,Graubünden,,"Val Fex",46.4142,9.7653,,Unknown,,Unspecified,,,,,,,,S47739913,,,,,"Regular summer residents around my house",,,,"Phylloscopus sibilatrix",woowar,Species,23636.0,,,4.0,2,committed,,"https://ebird.org/profile/MjMwNjE0",1200,1800,"https://macaulaylibrary.org/asset/110711481","https://ebird.org/view/checklist/S47739913","https://ebird.org/species/woowar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",woowar
110710361,Photo,"Turdus pilaris",Fieldfare,,"Aaron Maizlish",8/10/2018,2018,8,10,845,Switzerland,CH-GR,Graubünden,,Silvaplanersee,46.448,9.7914,,Unknown,,Unspecified,,,,,,,,S47819540,,,,,,,,,"Turdus pilaris",fieldf,Species,28173.0,,,4.0,2,committed,,"https://ebird.org/profile/MjMwNjE0",1201,1800,"https://macaulaylibrary.org/asset/110710361","https://ebird.org/view/checklist/S47819540","https://ebird.org/species/fieldf",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",fieldf
110584491,Photo,"Periparus ater","Coal Tit",,"Aaron Maizlish",8/9/2018,2018,8,9,1020,Switzerland,CH-GR,Graubünden,,"Val Fex",46.4142,9.7653,,Unknown,,Unspecified,,,,,,,,S47739913,,,,,,,,,"Periparus ater",coatit2,Species,21693.0,,,4.0,2,committed,,"https://ebird.org/profile/MjMwNjE0",1200,1800,"https://macaulaylibrary.org/asset/110584491","https://ebird.org/view/checklist/S47739913","https://ebird.org/species/coatit2",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",coatit2
109929041,Photo,"Turdus pilaris",Fieldfare,,"Aaron Maizlish",8/5/2018,2018,8,5,815,Switzerland,CH-GR,Graubünden,,Silvaplanersee,46.448,9.7914,,Unknown,,Unspecified,,,,,,,,S47690285,,,,,,,,,"Turdus pilaris",fieldf,Species,28173.0,,,4.0,2,committed,,"https://ebird.org/profile/MjMwNjE0",1400,2100,"https://macaulaylibrary.org/asset/109929041","https://ebird.org/view/checklist/S47690285","https://ebird.org/species/fieldf",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",fieldf
109576911,Photo,"Podiceps nigricollis","Eared Grebe",,"Aaron Maizlish",8/3/2018,2018,8,3,1745,Switzerland,CH-GR,Graubünden,,Silsersee,46.4173,9.7313,,Unknown,,Unspecified,,,,,,,,S47623464,,,,,,,,,"Podiceps nigricollis",eargre,Species,1763.0,,,4.0,2,committed,,"https://ebird.org/profile/MjMwNjE0",1601,2401,"https://macaulaylibrary.org/asset/109576911","https://ebird.org/view/checklist/S47623464","https://ebird.org/species/eargre",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",eargre
108414541,Photo,"Parus major","Great Tit",,"Aaron Maizlish",7/23/2018,2018,7,23,1205,Switzerland,CH-GR,Graubünden,,Silvaplanersee,46.448,9.7914,,Unknown,,Unspecified,,,,,,,,S47402617,,,,,,,,,"Parus major",gretit1,Species,21911.0,,,4.0,2,committed,,"https://ebird.org/profile/MjMwNjE0",1402,2102,"https://macaulaylibrary.org/asset/108414541","https://ebird.org/view/checklist/S47402617","https://ebird.org/species/gretit1",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",gretit1
108313431,Photo,"Saxicola rubetra",Whinchat,,"Aaron Maizlish",7/22/2018,2018,7,22,1330,Switzerland,CH-GR,Graubünden,,"Val Fex",46.4142,9.7653,,Unknown,,Unspecified,,,,,,,,S47356691,,,,,,,,,"Saxicola rubetra",whinch1,Species,27358.0,,,4.0,2,committed,,"https://ebird.org/profile/MjMwNjE0",1199,1801,"https://macaulaylibrary.org/asset/108313431","https://ebird.org/view/checklist/S47356691","https://ebird.org/species/whinch1",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",whinch1
108313381,Photo,"Saxicola rubetra",Whinchat,,"Aaron Maizlish",7/22/2018,2018,7,22,1330,Switzerland,CH-GR,Graubünden,,"Val Fex",46.4142,9.7653,,Unknown,,Unspecified,,,,,,,,S47356691,,,,,,,,,"Saxicola rubetra",whinch1,Species,27358.0,,,4.0,2,committed,,"https://ebird.org/profile/MjMwNjE0",1202,1802,"https://macaulaylibrary.org/asset/108313381","https://ebird.org/view/checklist/S47356691","https://ebird.org/species/whinch1",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",whinch1
108248441,Photo,"Poecile montanus","Willow Tit",,"Aaron Maizlish",7/21/2018,2018,7,21,1740,Switzerland,CH-GR,Graubünden,,"Val Fex",46.4142,9.7653,,Unknown,,Unspecified,,,,,,,,S47331622,,,,,,,,,"Poecile montanus",wiltit1,Species,21782.0,,,4.0,2,committed,,"https://ebird.org/profile/MjMwNjE0",1800,2700,"https://macaulaylibrary.org/asset/108248441","https://ebird.org/view/checklist/S47331622","https://ebird.org/species/wiltit1",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",wiltit1
96697941,Photo,"Turdus ruficollis","Red-throated Thrush",,"Aaron Maizlish",4/19/2013,2013,4,19,745,China,CN-11,Beijing,,"Temple of Heaven (天坛公园)",39.8799,116.4106,,Unknown,,Unspecified,,,,,,,,S13842420,,,,,,,,,"Turdus ruficollis",retthr1,Species,28183.0,,,3.75,4,committed,,"https://ebird.org/profile/MjMwNjE0",1200,1800,"https://macaulaylibrary.org/asset/96697941","https://ebird.org/view/checklist/S13842420","https://ebird.org/species/retthr1",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",retthr1
96771741,Photo,"Chaetura vauxi","Vaux's Swift",,"Aaron Maizlish",9/25/2013,2013,9,25,1817,"United States",US-CA-041,California,Marin,"McNear Brickyard (Private Property/Authorization for Access Required)",37.9858,-122.4663,,Unknown,,Unspecified,,,,,,,,S15258161,,,,,"4000 per Rusty Scalf.     Started photographing at 6:17 PM, conditions very windy, dry northerly wind, lots of sea chop.  Fewer than a dozen swifts for the first 25 minutes.   At 6:40 PM they started pouring out of the chimney by the thousands when buzzed by a Peregrine, who harassed them for about five minutes before leaving.   We figured they had gone in early (before 6PM) because of high winds.  2500-4000 remained circling for 30 minutes before re-entering.  Photos.",,,,"Chaetura vauxi",vauswi,Species,3756.0,,,3.2,5,committed,habitat,"https://ebird.org/profile/MjMwNjE0",1200,1800,"https://macaulaylibrary.org/asset/96771741","https://ebird.org/view/checklist/S15258161","https://ebird.org/species/vauswi",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",vauswi
97667621,Photo,"Megascops kennicottii","Western Screech-Owl",,"Aaron Maizlish",7/6/2014,2014,7,6,715,"United States",US-CA-083,California,"Santa Barbara","Stevens Park",34.447,-119.735,,Unknown,,Unspecified,,,,,,,,S19006743,,,,,"I kept on the path at a respectful distance, in spite of the close-up photo at 500mm.",,,,"Megascops kennicottii",wesowl1,Species,8348.0,,,3.6666666666666665,3,committed,,"https://ebird.org/profile/MjMwNjE0",1066,1600,"https://macaulaylibrary.org/asset/97667621","https://ebird.org/view/checklist/S19006743","https://ebird.org/species/wesowl1",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",wesowl1
96036511,Photo,"Catharus fuscescens",Veery,,"Aaron Maizlish",6/23/2013,2013,6,23,935,"United States",US-ME-005,Maine,Cumberland,"Scarborough Marsh--Eastern Rd.",43.565,-70.364,,Unknown,,Unspecified,,,,,,,,S14523551,,,,,,,,,"Catharus fuscescens",veery,Species,27753.0,,,3.6666666666666665,3,committed,,"https://ebird.org/profile/MjMwNjE0",1200,1800,"https://macaulaylibrary.org/asset/96036511","https://ebird.org/view/checklist/S14523551","https://ebird.org/species/veery",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",veery
71049561,Photo,"Setophaga castanea","Bay-breasted Warbler",,"Aaron Maizlish",10/6/2017,2017,10,6,1035,"United States",US-CA-001,California,Alameda,"Ardenwood Farm",37.5546,-122.0545,,Unknown,,Unspecified,,,,,,,,S39585182,,,,,"Found on 10/3.  Imm., sex unk.",,,,"Setophaga castanea",babwar,Species,32795.0,,,3.6666666666666665,3,committed,,"https://ebird.org/profile/MjMwNjE0",1066,1600,"https://macaulaylibrary.org/asset/71049561","https://ebird.org/view/checklist/S39585182","https://ebird.org/species/babwar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",babwar
58348981,Photo,"Thalassarche salvini","Salvin's Albatross",,"Aaron Maizlish",7/26/2014,2014,7,26,1245,"United States",US-CA-081,California,"San Mateo","Sixth leg - Jul 26, 2014",37.2942,-122.8613,,Unknown,,Unspecified,,,,,,,,S36920413,,,,,"Juvenile. Observed for over 40 minutes.",,,,"Thalassarche salvini",salalb1,Species,6589.0,,,3.6666666666666665,3,committed,,"https://ebird.org/profile/MjMwNjE0",1200,1800,"https://macaulaylibrary.org/asset/58348981","https://ebird.org/view/checklist/S36920413","https://ebird.org/species/salalb1",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",salalb1
